OPEN,HIGH,LOW,CLOSE,VOLUME,Close_Time,QUOTE_ASSET_VOLUME,NUMBER_TRADES,TAKER_BUY_BASE_ASSET_VOLUME,TAKER_BUY_QUOTE_ASSET_VOLUME,IGNORE,Date_column
"11910,99",12468,"11769,78","12281,13","84734,21154",1597708799999,1026883453,1210228,"42291,0862","512410754,1",0,17/08/2020 00:00:00
"8810,99",9398,"8792,99","9309,37","92466,27402",1589414399999,839725720,869216,"43648,35466",396713970,0,13/05/2020 00:00:00
"8907,57",9400,"8862,4","9374,21","74584,85377",1580255999999,"676593159,5",616678,"38852,36325","352558461,2",0,28/01/2020 00:00:00
"21491,18",21888,"20964,73","21038,07","53278,10464",1656287999999,1139258367,885306,"26051,16372","557192553,7",0,26/06/2022 00:00:00
"8823,25",8900,8445,"8692,91","71155,20898",1582934399999,615664817,655727,"35295,60614",305533927,0,28/02/2020 00:00:00
"35468,23",35600,30071,"30850,13","135004,0767",1611273599999,4386783587,2881505,"63256,21045",2057240517,0,21/01/2021 00:00:00
"10373,45",10438,9850,"10126,65","73491,87842",1599609599999,742947902,1048125,"34410,81447","348048428,9",0,08/09/2020 00:00:00
"10666,4",10950,"10530,41","10925,57","51959,69157",1602201599999,"559311760,4",659291,"26482,59953",285240421,0,08/10/2020 00:00:00
"10774,26",10950,10626,"10696,12","50095,25173",1601337599999,"544463219,6",686664,"25219,07332","274111924,7",0,28/09/2020 00:00:00
"21529,11",21900,21145,"21368,08","174383,2205",1661385599999,3744196824,5561412,"86499,84759",1857345194,0,24/08/2022 00:00:00
"43059,96",43800,42555,"43084,29","21936,05616",1642291199999,"946488263,5",752688,"11133,18615","480516487,2",0,15/01/2022 00:00:00
"7773,51",7780,"7659,12","7738,98","46302,75264",1588118399999,"357391780,9",499414,"21305,50136","164468534,1",0,28/04/2020 00:00:00
"40801,13",41760,40571,"41493,18","35788,85843",1650412799999,1472363265,934526,"17806,81506","732539241,9",0,19/04/2022 00:00:00
"43451,14",43816,"42430,58","43082,31","38880,37305",1641513599999,1674466154,1150707,"19268,82662","829886561,8",0,06/01/2022 00:00:00
"58720,45",60200,"58428,57","58950,01","47382,41878",1617407999999,2811159761,1666356,"23695,69515",1406393730,0,02/04/2021 00:00:00
"11760,55",11980,11680,"11852,4","56237,90505",1597535999999,"667446824,1",1018956,"27303,96632","324138943,4",0,15/08/2020 00:00:00
"9358,95",9422,"9281,54","9294,69","24316,92623",1592783999999,"227467940,6",321015,"11779,79718","110215504,6",0,21/06/2020 00:00:00
"33000,05",33600,28130,"31988,71","140899,8857",1609804799999,4429010350,2642408,"69088,46923",2173435409,0,04/01/2021 00:00:00
"10223,08",10450,"10223,08","10326,46","61008,06393",1581551999999,"629756037,5",857655,"31141,8077","321525481,5",0,12/02/2020 00:00:00
"20234,87",20900,"19616,07","20588,84","174809,217",1657843199999,3526210098,4576355,"87993,05801",1775442258,0,14/07/2022 00:00:00
"20723,51",20900,"19770,51","19987,99","92133,97938",1655942399999,1872204589,1394981,"44907,30453","912710764,7",0,22/06/2022 00:00:00
"9813,87",9940,"9667,11","9895,05","43600,84367",1581206399999,"427781790,2",514573,"22664,38184","222438123,8",0,08/02/2020 00:00:00
"19695,87",19888,"18001,12","18764,96","127698,7627",1606867199999,2446070335,2023802,"63805,3929",1223282816,0,01/12/2020 00:00:00
"25792,11",26040,"25372,51","25759,95","27262,52386",1694044799999,"700763180,8",636302,"12736,70564","327416444,8",0,06/09/2023 00:00:00
"9681,11",9950,"9464,23","9733,93","82006,60358",1589846399999,"797622297,3",794292,"40242,84299","391957586,2",0,18/05/2020 00:00:00
"50775,48",52088,50449,"50701,44","28792,21566",1640649599999,1472065236,1009411,"14436,09322","738369203,3",0,27/12/2021 00:00:00
"23141,57",24000,"23020,03","23628,97","315287,4174",1677715199999,7441571085,9390487,"157961,9267",3728256787,0,01/03/2023 00:00:00
"28033,83",28100,"27766,94","27906,33","24762,09387",1680911999999,"691323748,9",655634,"11983,13367","334559478,5",0,07/04/2023 00:00:00
"43495,44",43920,"41938,51","42373,73","44975,1687",1644623999999,1937866769,1169354,"22063,76915",950913914,0,11/02/2022 00:00:00
"29770,41",30160,"29376,67","29581,99","38003,88725",1691625599999,1130396850,750252,"18700,85778","556446376,3",0,09/08/2023 00:00:00
"9885,22",9964,9113,"9280,4","94418,98473",1591919999999,"902075648,5",966502,"40972,06475","391689549,7",0,11/06/2020 00:00:00
"44695,95",46000,"44203,28","44705,29","54099,41599",1629331199999,2439673266,1656723,"28538,22373",1286718405,0,18/08/2021 00:00:00
"21594,75",21980,"21322,12","21591,83","178417,8447",1657411199999,3857190523,3524386,"89418,01811",1933132016,0,09/07/2022 00:00:00
"6236,65",6266,"5866,56","5881,42","63311,62771",1585526399999,"383707122,5",496709,"29080,96792","176336037,9",0,29/03/2020 00:00:00
"8778,58",9460,8401,8620,"206277,2141",1588291199999,1839283907,1661554,"99484,47638","887675398,2",0,30/04/2020 00:00:00
"56891,62",58320,55600,"58052,24","50715,88726",1637366399999,2896189976,1560459,"24072,28575",1374771758,0,19/11/2021 00:00:00
"8894,15",8950,8522,"8871,96","84418,51233",1588636799999,"738343818,7",848802,"39118,38022","342180074,6",0,04/05/2020 00:00:00
"6677,42",6780,6510,"6737,36","83026,55521",1585267199999,"552537189,5",668467,"41123,41051","273834254,5",0,26/03/2020 00:00:00
15957,16880,15864,"16713,57","81300,67592",1605571199999,1335728014,1202386,"41370,21366","679593360,6",0,16/11/2020 00:00:00
"18874,31",19956,"18125,98","18461,36","385034,1002",1663804799999,7338667640,6907777,"190299,4714",3628361587,0,21/09/2022 00:00:00
"34681,44",39920,34031,"38796,29","161630,894",1621900799999,5996773032,3510578,"81584,82531",3031032099,0,24/05/2021 00:00:00
"9257,4",9470,9231,"9436,06","56140,51778",1594252799999,"525344876,7",652605,"28067,68064","262723969,1",0,08/07/2020 00:00:00
"57436,11",58360,55200,"56393,68","70181,67191",1620345599999,3992289528,2459881,"34248,89964",1949210282,0,06/05/2021 00:00:00
"10325,33",10500,10080,"10229,63","79344,35876",1581638399999,"815507473,7",932802,"38475,27255",395629173,0,13/02/2020 00:00:00
"47799,99",48144,"45971,03","47068,51","46114,35902",1628985599999,2166461459,1849556,"22999,52852",1080741766,0,14/08/2021 00:00:00
"9936,4",9990,"9473,56","9656,13","55796,59612",1582588799999,"542081527,6",589384,"26426,93064",256859539,0,24/02/2020 00:00:00
"9650,85",9990,9645,"9936,4","37702,08984",1582502399999,"371815095,5",441935,"20035,25055","197592792,9",0,23/02/2020 00:00:00
"49595,76",50200,"47047,6","48440,65","64221,06214",1614729599999,3120472070,1855583,"31377,03808",1525145370,0,02/03/2021 00:00:00
"51552,61",56368,"50710,2",55906,"79659,77802",1613779199999,4251167828,2339215,"40556,02025",2164871310,0,19/02/2021 00:00:00
"20079,02",21020,"20050,41","20771,59","380492,6958",1666828799999,7833551674,8512349,"190912,9643",3930265901,0,26/10/2022 00:00:00
"6793,86",7048,"6602,1","6734,1","104080,2769",1585958399999,"710254017,1",840456,"51077,93867","348762338,7",0,03/04/2020 00:00:00
"18846,62",20000,"18714,12","19930,01","368615,8782",1673654399999,7061633461,8021774,"183448,8938",3515300890,0,13/01/2023 00:00:00
"23810,79",24100,22600,"23232,76","119047,2597",1608767999999,2797688007,2194611,"56660,20196",1332358610,0,23/12/2020 00:00:00
"29211,06",30244,"29146,45","29770,42","45700,53392",1691539199999,1352934532,877168,"24189,62133","716161501,6",0,08/08/2023 00:00:00
"13560,1",14100,"13411,5",13791,"67339,23852",1604188799999,"927048458,5",1022202,"35823,22565","493309455,8",0,31/10/2020 00:00:00
"25940,77",26156,"25333,75","25805,05","41032,15056",1693612799999,1059444592,881179,"19960,9903","515429946,2",0,01/09/2023 00:00:00
"37160,11",38000,"36155,01","37716,56","42154,26956",1643414399999,1560203931,1061101,"21496,47551","795847847,5",0,28/01/2022 00:00:00
"26775,27",27200,"26560,53","26917,62","21594,8036",1684108799999,580801698,629537,"10672,14983","287060095,3",0,14/05/2023 00:00:00
"14818,3",15650,"14703,88","15475,1","65547,17857",1604879999999,"998031373,8",998773,"31175,66089","474978556,4",0,08/11/2020 00:00:00
"8614,39",9000,8535,"8907,57","53973,543",1580169599999,"473194952,8",514196,"28592,32652","250794158,8",0,27/01/2020 00:00:00
"17440,64",18000,"17315,6","17943,26","262221,6065",1673481599999,4586965947,5627464,"129944,5693",2273368097,0,11/01/2023 00:00:00
"17208,93",18000,"17080,14","17774,7","284462,9139",1670975999999,4983896040,6242080,"143922,8494",2521692887,0,13/12/2022 00:00:00
"5028,86",5525,"4921,45","5312,64","150089,9263",1584489599999,"793147908,3",1069217,"74698,37425","394902319,1",0,17/03/2020 00:00:00
"8825,67",9010,8753,"8972,05","59002,08755",1588463999999,"523838859,5",637884,"30400,35345","269917468,3",0,02/05/2020 00:00:00
"16069,56",16180,"15774,72",15957,"43596,84151",1605484799999,"696651729,7",854441,"20853,27085","333239080,6",0,15/11/2020 00:00:00
"24632,05",25192,"24192,57","24271,76","300395,9954",1676851199999,7408745407,7660484,"149680,2806",3692030230,0,19/02/2023 00:00:00
"40525,39",42200,33488,"37252,01","202100,8883",1621641599999,7713346610,3993336,"94002,43141",3591749387,0,21/05/2021 00:00:00
"28875,55",29300,27850,"28923,63","75508,50515",1609459199999,2173600125,1552793,"36431,62208",1049389144,0,31/12/2020 00:00:00
